index,person_id,pername1,pername2,sex,dob_day,dob_mon,dob_year,enumcap,enumpc,allInfo
438,DE159QA066001,LUCAS,PRICE,M,18.0,1,1960.0,66 CHURCH ROAD,DE159QA,lucaspricem18.011960.066churchroadde159qa
451,DE159QA069005,AVA,GRIFFITHS,F,27.0,1,2000.0,69 CHURCH ROAD,DE159QA,avagriffithsf27.012000.069churchroadde159qa
514,DE159QY021004,CAITLIN,CHAPMAN,F,23.0,11,2001.0,21 CHURCH ROAD,DE159QY,caitlinchapmanf23.0112001.021churchroadde159qy
515,DE159QY021005,CHARLOTTE,CHAPMAN,F,27.0,5,2004.0,21 CHURCH ROAD,DE159QY,charlottechapmanf27.052004.021churchroadde159qy
548,DE159QY035002,AVA,KING,F,7.0,7,1969.0,35 CHURCH ROAD,DE159QY,avakingf7.071969.035churchroadde159qy
553,DE159QY036001,ISABELLA,JEMKIMS,F,15.0,6,1946.0,36 CHURCH ROAD,DE159QY,isabellajemkimsf15.061946.036churchroadde159qy
554,DE159QY037001,FINLEY,MASON,M,22.0,3,1918.0,37 CHURCH ROAD,DE159QY,finleymasonm22.031918.037churchroadde159qy
598,DE159QZ057005,SAM,ROGERS,M,31.0,2,1946.0,57 CHURCH ROAD,DE159QZ,samrogersm31.021946.057churchroadde159qz
703,DE237GG017003,PETER,GRAY,M,2.0,5,2010.0,17 WOODLANDS ROAD,DE237GG,petergraym2.052010.017woodlandsroadde237gg
714,DE237GG021003,,WARD,F,24.0,2,2008.0,21 WOODLANDS ROAD,DE237GG,wardf24.022008.021woodlandsroadde237gg
757,DE237GH045003,MATTHEW,HARRISON,M,8.0,6,1992.0,45 WOODLANDS ROAD,DE237GH,matthewharrisonm8.061992.045woodlandsroadde237gh
786,DE237GH059003,HARRY,KELLY,M,10.0,9,,59 WOODLANDS ROAD,DE237GH,harrykellym10.0959woodlandsroadde237gh
794,DE237GH063001,ALEX,WOOD,M,11.0,3,1956.0,63 WOODLANDS ROAD,DE237GH,alexwoodm11.031956.063woodlandsroadde237gh
812,DE250HA007001,LUKE,JENKINS,M,3.0,8,1977.0,7 CHURCH STREET,DE250HA,lukejenkinsm3.081977.07churchstreetde250ha
858,DE256NF001001,BEN,WOOD,M,25.0,5,2011.0,1 SPRINGFIELD ROAD,DE256NF,benwoodm25.052011.01springfieldroadde256nf
866,DE256NF006001,ISAAC,HARRIS,M,24.0,4,1982.0,6 SPRINGFIELD ROAD,DE256NF,isaacharrism24.041982.06springfieldroadde256nf
869,DE256NF006004,OLLVLA,HARRLS,F,7.0,6,2007.0,6 SPRINGFIELD ROAD,DE256NF,ollvlaharrlsf7.062007.06springfieldroadde256nf
881,DE256NF010005,HANNAH,CLARXE,F,24.0,3,1987.0,10 SPRINGFIELD ROAD,DE256NF,hannahclarxef24.031987.010springfieldroadde256nf
961,DE256NH048001,LOGAN,EDWARDS,M,5.0,1,1984.0,48 SPRINGFIELD ROAD,DE256NH,loganedwardsm5.011984.048springfieldroadde256nh
978,DE256NH057001,JACK,STEVENS,M,23.0,6,1964.0,57 SPRINGFIELD ROAD,DE256NH,jackstevensm23.061964.057springfieldroadde256nh
994,DE256NJ064003,JASMINE,DAVIES,F,7.0,12,2009.0,64 SPRINGFIELD ROAD,DE256NJ,jasminedaviesf7.0122009.064springfieldroadde256nj
1026,DE264EU001003,ARTHUR,RICHARDS,M,29.0,8,1980.0,1 VICTORIA ROAD,DE264EU,arthurrichardsm29.081980.01victoriaroadde264eu
1034,DE264EU004006,HARVEY,JONES,M,23.0,2,2008.0,4 VICTORIA ROAD,DE264EU,harveyjonesm23.022008.04victoriaroadde264eu
1056,DE264EW017003,ELIZABETH,HOLMES,F,2.0,9,2010.0,17 VICTORIA ROAD,DE264EW,elizabethholmesf2.092010.017victoriaroadde264ew
1075,DE264EW028001,SEBASTIAN,GBAY,M,22.0,3,1954.0,28 VICTORIA ROAD,DE264EW,sebastiangbaym22.031954.028victoriaroadde264ew
1076,DE264EW028002,PVIGE,GVVY,F,9.0,10,1958.0,28 VICTORIA ROAD,DE264EW,pvigegvvyf9.0101958.028victoriaroadde264ew
1091,DE264EW033001,MATTHEW,SIMPSON,M,21.0,9,1973.0,33 VICTORIA ROAD,DE264EW,matthewsimpsonm21.091973.033victoriaroadde264ew
1130,DE352AN010002,GVACIE,PALMEV,F,9.0,6,1969.0,10 MILL LANE,DE352AN,gvaciepalmevf9.061969.010milllanede352an
1137,DE352AN014001,ROSE,HARRISON,F,22.0,2,1919.0,14 MILL LANE,DE352AN,roseharrisonf22.021919.014milllanede352an
1198,DE399QE023002,MIA,GRAHAM,F,21.0,3,1976.0,23 ALEXANDRA ROAD,DE399QE,miagrahamf21.031976.023alexandraroadde399qe
1260,DE399QF056001,MOLLY,EDWARDS,F,16.0,4,1992.0,56 ALEXANDRA ROAD,DE399QF,mollyedwardsf16.041992.056alexandraroadde399qf
1340,DE422HE030001,WILLIAM,MARSHALL,M,2.0,4,1920.0,30 MARLBOROUGH ROAD,DE422HE,williammarshallm2.041920.030marlboroughroadde422he
1380,DE422HF047003,ELLA,COLLINS,F,7.0,5,2005.0,47 MARLBOROUGH ROAD,DE422HF,ellacollinsf7.052005.047marlboroughroadde422hf
1400,DE422HG059001,KADEN,BARNES,M,4.0,12,1985.0,59 MARLBOROUGH ROAD,DE422HG,kadenbarnesm4.0121985.059marlboroughroadde422hg
1415,DE422HG061005,JOSH,MILLER,M,11.0,4,1981.0,61 MARLBOROUGH ROAD,DE422HG,joshmillerm11.041981.061marlboroughroadde422hg
1446,DE440RX004001,MATILDA,WHITE,F,28.0,2,1987.0,4 GREEN LANE,DE440RX,matildawhitef28.021987.04greenlanede440rx
1515,DE456EZ001002,LUCIE,DAVIS,F,18.0,12,1964.0,1 KINGS ROAD,DE456EZ,luciedavisf18.0121964.01kingsroadde456ez
1541,DE456EZ011001,REUBEW,OAVIS,M,29.0,2,1979.0,11 KINGS ROAD,DE456EZ,reubewoavism29.021979.011kingsroadde456ez
1555,DE456EZ017001,ETHAN,JOHNSON,M,5.0,1,1957.0,17 KINGS ROAD,DE456EZ,ethanjohnsonm5.011957.017kingsroadde456ez
1577,DE500JF003002,CONNOR,WARD,M,5.0,10,2000.0,3 FOREST ROAD,DE500JF,connorwardm5.0102000.03forestroadde500jf
1597,DE500JF011004,BEN,NITCHELL,M,8.0,2,1988.0,11 FOREST ROAD,DE500JF,bennitchellm8.021988.011forestroadde500jf
1601,DE500JF014001,WILLOW,MARSHALL,F,9.0,11,1966.0,14 FOREST ROAD,DE500JF,willowmarshallf9.0111966.014forestroadde500jf
1626,DE500JG028001,EMIIY,LHAPMAN,F,13.0,7,1918.0,28 FOREST ROAD,DE500JG,emiiylhapmanf13.071918.028forestroadde500jg
1629,DE500JG030001,THOMAS,MILLER,M,4.0,3,1972.0,30 FOREST ROAD,DE500JG,thomasmillerm4.031972.030forestroadde500jg
1649,DE500JG039001,NICOLE,THOMPSON,F,1.0,4,1940.0,39 FOREST ROAD,DE500JG,nicolethompsonf1.041940.039forestroadde500jg
1673,DE500JH048001,KAI,PHILLIPS,M,8.0,11,1951.0,48 FOREST ROAD,DE500JH,kaiphillipsm8.0111951.048forestroadde500jh
1721,DE502GJ008001,HEIDI,HILL,F,10.0,8,1956.0,8 HIGH STREET,DE502GJ,heidihillf10.081956.08highstreetde502gj
1741,DE533TJ004002,AMELIA,FISHER,F,17.0,3,1966.0,4 MANOR ROAD,DE533TJ,ameliafisherf17.031966.04manorroadde533tj
1742,DE533TJ004003,TOM,FISHER,M,6.0,5,,4 MANOR ROAD,DE533TJ,tomfisherm6.054manorroadde533tj
1744,DE533TJ005002,BROOKE,HARRISON,F,12.0,6,1941.0,5 MANOR ROAD,DE533TJ,brookeharrisonf12.061941.05manorroadde533tj
1787,DE533TL031002,PHOEBE,JAMES,F,26.0,11,1978.0,31 MANOR ROAD,DE533TL,phoebejamesf26.0111978.031manorroadde533tl
1813,DE533TL043002,GRRCIE,CRRTER,F,2.0,11,1977.0,43 MANOR ROAD,DE533TL,grrciecrrterf2.0111977.043manorroadde533tl
1842,DE533TL050006,SCARLETT,WILKINSON,F,11.0,8,2002.0,50 MANOR ROAD,DE533TL,scarlettwilkinsonf11.082002.050manorroadde533tl
1862,DE533TN063001,ABIGAIL,MILLER,F,10.0,7,1921.0,63 MANOR ROAD,DE533TN,abigailmillerf10.071921.063manorroadde533tn
1903,DE533TP084004,MOHAMMED,LEWIS,M,26.0,3,2003.0,84 MANOR ROAD,DE533TP,mohammedlewism26.032003.084manorroadde533tp
1910,DE533TP088003,NICOLE,ROBERTS,F,15.0,6,2005.0,88 MANOR ROAD,DE533TP,nicolerobertsf15.062005.088manorroadde533tp
1962,DE624BH014003,CONNOR,RICHARDS,M,21.0,10,1948.0,14 QUEEN STREET,DE624BH,connorrichardsm21.0101948.014queenstreetde624bh
1969,DE624BH015001,BYAN,GBEEN,M,21.0,12,1934.0,15 QUEEN STREET,DE624BH,byangbeenm21.0121934.015queenstreetde624bh
1978,DE624BH018007,ELLIE,MILLS,F,28.0,2,1974.0,18 QUEEN STREET,DE624BH,elliemillsf28.021974.018queenstreetde624bh
1980,DE624BH019002,ISLA,WAAD,F,23.0,8,1965.0,19 QUEEN STREET,DE624BH,islawaadf23.081965.019queenstreetde624bh
2018,DE654YJ003002,REBECCA,MILLS,F,29.0,4,1957.0,3 NEW ROAD,DE654YJ,rebeccamillsf29.041957.03newroadde654yj
2031,DE654YJ010002,JAMES,JAMES,M,18.0,10,1944.0,10 NEW ROAD,DE654YJ,jamesjamesm18.0101944.010newroadde654yj
2061,DE654YL025001,SAMUEL,BUTLER,M,15.0,8,2002.0,25 NEW ROAD,DE654YL,samuelbutlerm15.082002.025newroadde654yl
2071,DE654YL027001,KAYDEN,CLARKE,M,2.0,4,1970.0,27 NEW ROAD,DE654YL,kaydenclarkem2.041970.027newroadde654yl
2177,DE691FL005001,ELLIE,STEWART,F,25.0,4,1955.0,5 NORTH STREET,DE691FL,elliestewartf25.041955.05northstreetde691fl
2206,DE691FL017001,ANNAVEL,MASON,F,28.0,12,1923.0,17 NORTH STREET,DE691FL,annavelmasonf28.0121923.017northstreetde691fl
2287,DE712NT032001,HARRY,LLOYD,M,24.0,5,1976.0,32 QUEENS ROAD,DE712NT,harrylloydm24.051976.032queensroadde712nt
2298,DE712NT039001,JRCOB,TRYLOR,M,29.0,7,1960.0,39 QUEENS ROAD,DE712NT,jrcobtrylorm29.071960.039queensroadde712nt
2343,DE712NW063004,AIDAN,GREEN,M,2.0,5,2011.0,63 QUEENS ROAD,DE712NW,aidangreenm2.052011.063queensroadde712nw
2360,DE712NW072001,MARIA,BENNETT,F,20.0,6,1974.0,72 QUEENS ROAD,DE712NW,mariabennettf20.061974.072queensroadde712nw
2409,DE732EN010001,TAYLOR,WRIGHT,M,18.0,6,1966.0,10 CROMWELL ROAD,DE732EN,taylorwrightm18.061966.010cromwellroadde732en
2439,DE732EP026002,BENJAMIN,LEE,M,5.0,2,1975.0,26 CROMWELL ROAD,DE732EP,benjaminleem5.021975.026cromwellroadde732ep
2463,DE732EQ037006,PAIGE,YOUNG,F,12.0,10,1998.0,37 CROMWELL ROAD,DE732EQ,paigeyoungf12.0101998.037cromwellroadde732eq
2483,DE732EQ047002,EVA,EDWARDS,F,22.0,1,,47 CROMWELL ROAD,DE732EQ,evaedwardsf22.0147cromwellroadde732eq
2496,DE732ER053001,JULIRN,WILLIRMS,M,3.0,6,1978.0,53 CROMWELL ROAD,DE732ER,julirnwillirmsm3.061978.053cromwellroadde732er
2564,DE858BP002002,ELERNOR,SMITH,F,4.0,7,1968.0,2 PARK AVENUE,DE858BP,elernorsmithf4.071968.02parkavenuede858bp
2575,DE858BP007001,ETHAN,ELLIS,M,12.0,6,1952.0,7 PARK AVENUE,DE858BP,ethanellism12.061952.07parkavenuede858bp
2587,DE858BP014001,MARVEY,MOLMES,M,,5,1982.0,14 PARK AVENUE,DE858BP,marveymolmesm51982.014parkavenuede858bp
2621,DE861EH016001,OLIVEA,WILLIAMS,M,13.0,9,1958.0,16 KINGSWAY,DE861EH,oliveawilliamsm13.091958.016kingswayde861eh
2632,DE861EH022001,AISHA,JACKSON,F,31.0,2,1943.0,22 KINGSWAY,DE861EH,aishajacksonf31.021943.022kingswayde861eh
2652,DE921PR008002,ALICE,GRAHAM,F,13.0,6,1989.0,8 ALBERT STREET,DE921PR,alicegrahamf13.061989.08albertstreetde921pr
2667,DE921PR015001,ALEXANDRA,PALMER,F,24.0,3,1936.0,15 ALBERT STREET,DE921PR,alexandrapalmerf24.031936.015albertstreetde921pr
2719,DE934NT017003,RAPHAEL,PRICE,M,4.0,9,1988.0,17 THE GREEN,DE934NT,raphaelpricem4.091988.017thegreende934nt
2739,EX121UA014001,LEAH,ROBERTSON,F,5.0,3,1983.0,14 WOODLANDS ROAD,EX121UA,leahrobertsonf5.031983.014woodlandsroadex121ua
2741,EX121UA015001,ALEXANDER,MASON,M,15.0,8,1997.0,15 WOODLANDS ROAD,EX121UA,alexandermasonm15.081997.015woodlandsroadex121ua
2830,EX227RX004003,FREYA,WILLIAMS,F,24.0,10,2009.0,4 BROADWAY,EX227RX,freyawilliamsf24.0102009.04broadwayex227rx
2836,EX227RX006002,MOHAMMED,WRIGHT,M,4.0,2,1977.0,6 BROADWAY,EX227RX,mohammedwrightm4.021977.06broadwayex227rx
2852,EX237PQ001001,EVA,POWELL,F,1.0,6,2004.0,1 GRANGE ROAD,EX237PQ,evapowellf1.062004.01grangeroadex237pq
2881,EX237PQ015002,IEWIS,MIII,M,16.0,1,1953.0,15 GRANGE ROAD,EX237PQ,iewismiiim16.011953.015grangeroadex237pq
2889,EX237PR016003,ERIN,MASON,,23.0,10,2000.0,16 GRANGE ROAD,EX237PR,erinmason23.0102000.016grangeroadex237pr
2911,EX237PR029001,WILLOW,HARVEY,F,22.0,2,1984.0,29 GRANGE ROAD,EX237PR,willowharveyf22.021984.029grangeroadex237pr
2993,EX264WU004001,ACFIE,WICSOM,M,15.0,2,1953.0,4 MARLBOROUGH ROAD,EX264WU,acfiewicsomm15.021953.04marlboroughroadex264wu
2994,EX264WU004002,AMELIA,WILSON,F,9.0,10,1952.0,4 MARLBOROUGH ROAD,EX264WU,ameliawilsonf9.0101952.04marlboroughroadex264wu
2996,EX264WU004004,BEN,WILSON,M,1.0,1,,4 MARLBOROUGH ROAD,EX264WU,benwilsonm1.014marlboroughroadex264wu
3078,EX264WW044001,SEBASTIAN,WILKINSUN,M,8.0,5,1920.0,44 MARLBOROUGH ROAD,EX264WW,sebastianwilkinsunm8.051920.044marlboroughroadex264ww
3085,EX264WW050001,MAXIMUS,TURNER,M,23.0,12,1980.0,50 MARLBOROUGH ROAD,EX264WW,maximusturnerm23.0121980.050marlboroughroadex264ww
3126,EX271TY014002,MILLY,MURPHY,F,14.0,9,1991.0,14 SOUTH STREET,EX271TY,millymurphyf14.091991.014southstreetex271ty
3181,EX289SL019001,SIENNA,PALMER,F,27.0,5,1989.0,19 HIGH STREET,EX289SL,siennapalmerf27.051989.019highstreetex289sl
3185,EX298AE001002,MUHAMMED,PRICE,M,10.0,12,1977.0,1 CHURCH ROAD,EX298AE,muhammedpricem10.0121977.01churchroadex298ae
3293,EX306WU012003,AMELIE,HOLMES,F,16.0,1,2004.0,12 GREEN LANE,EX306WU,amelieholmesf16.012004.012greenlaneex306wu
3299,EX306WU014002,JULIA,THOMSON,F,12.0,1,1938.0,14 GREEN LANE,EX306WU,juliathomsonf12.011938.014greenlaneex306wu
3312,EX341WT007001,NOAH,CLARHE,M,9.0,5,1961.0,7 PARK ROAD,EX341WT,noahclarhem9.051961.07parkroadex341wt
3329,EX341WT014002,REUBEN,CIBSON,M,8.0,10,1950.0,14 PARK ROAD,EX341WT,reubencibsonm8.0101950.014parkroadex341wt
3333,EX341WT016002,RACHEL,MARTIN,F,5.0,11,1959.0,16 PARK ROAD,EX341WT,rachelmartinf5.0111959.016parkroadex341wt
3335,EX341WT017001,CHARLOTTE,PHILLIPS,F,12.0,10,1929.0,17 PARK ROAD,EX341WT,charlottephillipsf12.0101929.017parkroadex341wt
3346,EX341WT021004,RILEY,MILLS,M,14.0,5,2011.0,21 PARK ROAD,EX341WT,rileymillsm14.052011.021parkroadex341wt
3354,EX341WU028001,GEORGIR,STEVENS,F,6.0,6,1952.0,28 PARK ROAD,EX341WU,georgirstevensf6.061952.028parkroadex341wu
3357,EX341WU030001,MUHAMMAD,MURPHY,M,15.0,12,2009.0,30 PARK ROAD,EX341WU,muhammadmurphym15.0122009.030parkroadex341wu
3358,EX341WU030002,LYDIA,NURPHY,F,26.0,1,1999.0,30 PARK ROAD,EX341WU,lydianurphyf26.011999.030parkroadex341wu
3427,EX341WW059001,OSCAR,JONES,M,28.0,6,1913.0,59 PARK ROAD,EX341WW,oscarjonesm28.061913.059parkroadex341ww
3431,EX341WW061001,OLIVEV,BVOWN,M,25.0,12,1975.0,61 PARK ROAD,EX341WW,olivevbvownm25.0121975.061parkroadex341ww
3514,EX423JU018001,JASMINE,TURNER,F,19.0,12,1976.0,18 ALBERT ROAD,EX423JU,jasmineturnerf19.0121976.018albertroadex423ju
3525,EX423JW023002,LOIS,ALLEN,F,5.0,3,1974.0,23 ALBERT ROAD,EX423JW,loisallenf5.031974.023albertroadex423jw
3526,EX423JW023003,BEATAICE,ALLEN,F,25.0,3,2000.0,23 ALBERT ROAD,EX423JW,beataiceallenf25.032000.023albertroadex423jw
3550,EX423JW036003,JACOB,MILLER,M,8.0,12,1998.0,36 ALBERT ROAD,EX423JW,jacobmillerm8.0121998.036albertroadex423jw
3554,EX423JW037004,MADDISON,BELL,F,24.0,11,1966.0,37 ALBERT ROAD,EX423JW,maddisonbellf24.0111966.037albertroadex423jw
3595,EX483QY006002,JESSICA,MITCHELL,F,26.0,8,1947.0,6 WARWICK ROAD,EX483QY,jessicamitchellf26.081947.06warwickroadex483qy
3616,EX483QY015003,ANDREW,HUGHES,M,16.0,5,1960.0,15 WARWICK ROAD,EX483QY,andrewhughesm16.051960.015warwickroadex483qy
3642,EX483QZ024004,MADDISON,ECCIS,F,10.0,4,2010.0,24 WARWICK ROAD,EX483QZ,maddisoneccisf10.042010.024warwickroadex483qz
3650,EX483QZ030001,DAISY,MATTHEWS,F,23.0,7,1996.0,30 WARWICK ROAD,EX483QZ,daisymatthewsf23.071996.030warwickroadex483qz
3670,EX483QZ039004,AMINA,SIMPSON,F,14.0,8,2006.0,39 WARWICK ROAD,EX483QZ,aminasimpsonf14.082006.039warwickroadex483qz
3682,EX527TR004001,ELEAMOR,SIMPSOM,F,1.0,3,1925.0,4 VICTORIA STREET,EX527TR,eleamorsimpsomf1.031925.04victoriastreetex527tr
3684,EX527TR005001,SUMMER,THOMSON,F,4.0,7,1959.0,5 VICTORIA STREET,EX527TR,summerthomsonf4.071959.05victoriastreetex527tr
3748,EX641AY007005,SUMMER,PATEL,F,16.0,3,1975.0,7 NORTH STREET,EX641AY,summerpatelf16.031975.07northstreetex641ay
3753,EX641AY010001,DYLAN,ROGERS,M,27.0,2,1982.0,10 NORTH STREET,EX641AY,dylanrogersm27.021982.010northstreetex641ay
3783,EX662ES005003,LOGAN,COOK,M,2.0,4,2003.0,5 NEW STREET,EX662ES,logancookm2.042003.05newstreetex662es
3808,EX662ES017002,HANNAH,KING,F,29.0,11,1943.0,17 NEW STREET,EX662ES,hannahkingf29.0111943.017newstreetex662es
3814,EX675RX005001,LUCAS,MASON,M,9.0,11,1980.0,5 GEORGE STREET,EX675RX,lucasmasonm9.0111980.05georgestreetex675rx
3824,EX675RX011003,OLIVIA,STEWART,F,,1,2001.0,11 GEORGE STREET,EX675RX,oliviastewartf12001.011georgestreetex675rx
3832,EX675RX014002,FREYA,WRIGHT,F,28.0,11,1969.0,14 GEORGE STREET,EX675RX,freyawrightf28.0111969.014georgestreetex675rx
3867,EX683DH007003,BLAKE,BVTLER,M,13.0,1,2007.0,7 FOREST ROAD,EX683DH,blakebvtlerm13.012007.07forestroadex683dh
3899,EX683DJ023007,SCRRLETT,FOSTER,F,30.0,8,2001.0,23 FOREST ROAD,EX683DJ,scrrlettfosterf30.082001.023forestroadex683dj
3910,EX683DJ026002,EMILY,HARRIS,F,6.0,7,1983.0,26 FOREST ROAD,EX683DJ,emilyharrisf6.071983.026forestroadex683dj
3914,EX683DJ028002,ISABELLA,WHITE,F,19.0,1,1981.0,28 FOREST ROAD,EX683DJ,isabellawhitef19.011981.028forestroadex683dj
3918,EX683DJ029005,ALFIE,CARTER,M,17.0,12,2002.0,29 FOREST ROAD,EX683DJ,alfiecarterm17.0122002.029forestroadex683dj
3945,EX683DL044001,AARON,WILLIAMSON,M,27.0,5,2002.0,44 FOREST ROAD,EX683DL,aaronwilliamsonm27.052002.044forestroadex683dl
3961,EX683DL055001,ERIN,PARKER,F,19.0,6,1956.0,55 FOREST ROAD,EX683DL,erinparkerf19.061956.055forestroadex683dl
4037,EX710EA010002,ABIGAIL,MARSHALL,F,26.0,10,1973.0,10 ALBERT STREET,EX710EA,abigailmarshallf26.0101973.010albertstreetex710ea
4057,EX710EA018001,JAHES,WILSON,M,13.0,1,1937.0,18 ALBERT STREET,EX710EA,jaheswilsonm13.011937.018albertstreetex710ea
4063,EX710EA021002,HARRIET,FOSTER,F,26.0,12,1983.0,21 ALBERT STREET,EX710EA,harrietfosterf26.0121983.021albertstreetex710ea
4086,EX728SQ004001,THEO,GRAY,M,24.0,11,1933.0,4 MAIN STREET,EX728SQ,theograym24.0111933.04mainstreetex728sq
4129,EX747DL005002,AMY,BELL,F,22.0,1,1988.0,5 NEW ROAD,EX747DL,amybellf22.011988.05newroadex747dl
4133,EX747DL006003,CHARLOTTE,MATTHEWS,F,15.0,1,1994.0,6 NEW ROAD,EX747DL,charlottematthewsf15.011994.06newroadex747dl
4136,EX747DL008002,,LEWIS,M,6.0,4,1987.0,8 NEW ROAD,EX747DL,lewism6.041987.08newroadex747dl
4241,EX86QR002001,CALLUM,CARTER,M,11.0,11,1958.0,2 KINGS ROAD,EX86QR,callumcarterm11.0111958.02kingsroadex86qr
4258,EX86QR008003,FREDDIE,PRICE,M,8.0,5,1985.0,8 KINGS ROAD,EX86QR,freddiepricem8.051985.08kingsroadex86qr
4287,EX86QR021001,BRADCEY,WOOD,M,24.0,11,1966.0,21 KINGS ROAD,EX86QR,bradceywoodm24.0111966.021kingsroadex86qr
4328,EX86QS039002,ABIGAIL,TAYLOR,F,6.0,6,1974.0,39 KINGS ROAD,EX86QS,abigailtaylorf6.061974.039kingsroadex86qs
4370,EX898TX012003,LOUIS,COX,M,15.0,3,2011.0,12 YORK ROAD,EX898TX,louiscoxm15.032011.012yorkroadex898tx
4379,EX898TX015001,FREYA,BROWN,F,20.0,12,1970.0,15 YORK ROAD,EX898TX,freyabrownf20.0121970.015yorkroadex898tx
4385,EX898TY016001,CAMERON,CLARKE,M,14.0,5,1962.0,16 YORK ROAD,EX898TY,cameronclarkem14.051962.016yorkroadex898ty
4389,EX898TY019001,JESSICA,EDWAVDS,F,20.0,6,1975.0,19 YORK ROAD,EX898TY,jessicaedwavdsf20.061975.019yorkroadex898ty
4391,EX898TY020001,DECLAN,MITCHELL,M,15.0,4,1968.0,20 YORK ROAD,EX898TY,declanmitchellm15.041968.020yorkroadex898ty
4399,EX898TY022003,OLIVEA,EDWAADS,M,27.0,9,1986.0,22 YORK ROAD,EX898TY,oliveaedwaadsm27.091986.022yorkroadex898ty
4449,EX909LS012002,EVIE,JACKSOM,F,30.0,10,1985.0,12 STATION ROAD,EX909LS,eviejacksomf30.0101985.012stationroadex909ls
4481,EX909LT022001,ISABEL,THUMPSUN,F,6.0,8,1973.0,22 STATION ROAD,EX909LT,isabelthumpsunf6.081973.022stationroadex909lt
4502,EX909LT033002,ERIN,MASON,F,14.0,10,1926.0,33 STATION ROAD,EX909LT,erinmasonf14.0101926.033stationroadex909lt
4553,EX909LU059001,CHRISTIAN,SMITH,M,21.0,5,1968.0,59 STATION ROAD,EX909LU,christiansmithm21.051968.059stationroadex909lu
4556,EX909LU059004,MEGAN,SMITH,F,21.0,1,1990.0,59 STATION ROAD,EX909LU,megansmithf21.011990.059stationroadex909lu
4578,EX909LW073003,BENJAMIN,JONES,M,9.0,5,2000.0,73 STATION ROAD,EX909LW,benjaminjonesm9.052000.073stationroadex909lw
4666,EX975XA033004,AIMEE,RICHARDSON,F,29.0,12,1995.0,33 MANOR ROAD,EX975XA,aimeerichardsonf29.0121995.033manorroadex975xa
4688,EX975XA048001,ETHAN,HARRIS,M,7.0,3,1926.0,48 MANOR ROAD,EX975XA,ethanharrism7.031926.048manorroadex975xa
4709,EX975XY012001,AARON,TAYLOR,M,29.0,8,1957.0,12 MANOR ROAD,EX975XY,aarontaylorm29.081957.012manorroadex975xy
