PIERWSZE_IMIĘ,DRUGIE_IMIĘ,NAZWISKO,DATA URODZENIA
KALINA,MIECZYSŁAWA,OSTRIVNA,20-12-1956
WIKTORIA,ANETA,LEONIUK,16-07-2023
WIOLETA,MAGDALENA,BAGIŃSKA,16-07-1967
ŁUCJA,JADWIGA,BARAŃSKA,01-03-2023
IRENA,EWA,ŁAWNICZAK,08-02-1949
OLENA,MAŁGORZATA,TYKHONIUK,07-08-1972
MILENA,MARIA,POLSKA,25-10-1978
OLIWIA,KRYSTYNA,FLAK,08-03-2004
ANTONINA,MARIA,GRZESIAK,08-01-2016
HELENA,OLIWIA,MARZEC,07-08-1974
ANNA,HALINA,TROINIKOVA,05-06-1931
KARINA,KATARZYNA,KONIECKE,27-08-1927
NATALIA,MARIA,SZCZUROWSKA,02-03-2020
GRAŻYNA,MAŁGORZATA,ZAWADZKA,19-05-2011
JOANNA,BARBARA,DWORNICZAK,12-04-1953
SYLWIA,KAROLINA,KOTARSKA,09-09-1978
DOROTA,JÓZEFINA,DANIŁOWICZ,11-07-2016
URSZULA,MAGDALENA,FRĄTCZAK,26-12-1960
EWELINA,LUDMIŁA,ZOŁOTAR,19-09-1990
KATARZYNA,MARIA,GASZAK,03-04-1927
GRAŻYNA,ANNA,SKOWRONEK,29-04-1956
ELŻBIETA,MARIA,NOWAK,13-08-1977
ELŻBIETA,EWA,HRYNIEWICZ,20-08-1992
MILENA,JANINA,ŚLUSARCZYK,15-03-1957
IGA,HANNA,WINIARSKA,11-09-1986
RENATA,EWA,CHROBAK,16-03-2014
EDYTA,JOANNA,BIOLIK,24-08-2004
ANETA,ANGELINA,PIETRUSZEWSKA,07-06-1981
WIESŁAWA,BARBARA,BERENT,25-05-1987
ALEKSANDRA,AGNIESZKA,ŁAWNICZAK,01-06-1970
GRAŻYNA,MARIOLA,KRAVCHUK,15-11-2018
VICTORIA,KATARZYNA,KRASNODĘBSKA,20-09-1990
KRYSTYNA,JUSTYNA,KUCHARSKA,02-08-1955
MARTYNA,ANNA,ROKOSZ,03-10-1945
ANETA,IZABELA,ZIMAKOWSKA,10-10-1984
IRENA,ELŻBIETA,KOZAKIEWICZ,21-01-1986
ALICJA,RENATA,PIECHUTA,13-12-2016
LILIA,EWA,SZMATA,23-09-2011
EMILIA,AGNIESZKA,KUROWSKA,13-12-2006
ADRIANNA,MARIA,REJF,07-03-2019
KRISTINE,JOANNA,ŻUKOWSKA,28-05-1942
JULIA,KRZYSZTOFA,BELEICHYK,07-08-1952
DANUTA,ANTONINA,POTOCZNA,27-02-1979
BARBARA,ELISA,OLIŃSKA,06-05-1926
ANETA,MARIA,WOŹNIAK,22-10-1957
AMELIA,BOŻENA,KAWCZYŃSKA,18-07-1933
JULIA,JADWIGA,ZASADA,25-10-1958
AGNIESZKA,EWA,KULIK,24-07-1949
ANITA,OKTAWIA,KUPTSOVA,16-07-1982
EWA,EWA,GĘBSKA,09-09-1988
TERESA,ANNA,MACHOWSKA,31-03-1952
ILONA,WIESŁAWA,PRZYBYLSKA,01-11-2017
NATALIA,TERESA,SHEVCHUK,22-05-1936
MAŁGORZATA,ELŻBIETA,PEDRYCZ,05-09-1988
MARIIA,AGNIESZKA,BOHDANOWICZ,05-10-1997
BOŻENA,TERESA,PUŚCIAN,24-10-1956
LUCYNA,ZOFIA,MATUSIAK,26-05-1924
MATYLDA,ANNA,DUDEK,28-03-1966
KATARZYNA,MALWINA,MAŁOCHA,22-01-1958
BARBARA,TERESA,BAR,11-12-1953
LENA,DANUTA,KOZIEJ,11-01-2003
LUCYNA,MARIA,JANIK,09-03-2007
AGNIESZKA,URSZULA,KAPCIA,21-01-1969
JADWIGA,ANNA,TOPF,11-07-2003
MARTA,MONIKA,BANACH,08-02-1956
EMILIA,MARZENA,HERMAN,02-08-1935
BARBARA,WIKTORIA,BOŁOCIUCH,28-10-1944
ANNA,ANNA,POLANKO,29-07-2003
JANINA,ROZALIA,OCHAL,08-08-1957
PAULINA,MARIA,PODAWCZYK,19-12-1933
IRENA,MICHALINA,TOMCZAK,18-05-1982
AGNIESZKA,BOŻENA,ZABILSKA,02-10-1960
MARIOLA,PATRYCJA,MACHNIK,31-07-2005
KATARZYNA,MARIA,KRÓL,08-09-1928
KAMILA,MAGDALENA,GAŁKA,24-03-2014
PATRYCJA,LUCYNA,PRZYBYSZ,22-07-1941
DIANA,ANNA,SUDAK,24-04-1958
IRENA,ANNA,PATLA,28-12-1962
LENA,MARIA,KOMOSIŃSKA,12-06-2013
BOŻENA,MAŁGORZATA,PRZEWOŹNIK,01-06-1976
ANNA,KAJA,RUDNICKA,13-01-1949
BEATA,PAULINA,OWCZAREK,11-12-1958
KAROLINA,ANNA,MIRZAYEVA,08-01-1978
KATERYNA,KLAUDIA,CZERHONIAK,15-06-1962
MAGDALENA,BEATA,MROZEK,07-04-1925
WIKTORIA,MARIA,KOŁDON,09-05-1954
TERESA,ROZALIA,MICHALIK,10-06-1952
MARIA,DOMINIKA,WARDZIAK,24-12-1968
APOLONIA,MARTA,GAL,01-02-1977
DARIKA,KAZIMIERA,KOZŁOWSKA,18-07-2021
RENATA,MAGDALENA,KACZMAREK,16-07-1929
ELŻBIETA,MARIA,PAWLETKO,12-03-1928
ELŻBIETA,DOROTA,FOLWARCZNA,13-11-1971
ELŻBIETA,ELŻBIETA,SAMULSKA,25-06-1950
MARIA,JANINA,KURKOWSKA,09-04-1946
ANNA,ANNA,KARGA,19-08-2023
MARIA,FELICJA,GŁAŻEWSKA,14-12-2016
ANNA,MARIA,KOMARNICKA,04-10-1995
ANNA,AGNIESZKA,AMBROSZCZYK,05-02-1948
ALEKSANDRA,EWA,ROSIAK,30-04-2023
ANTONINA,ZOFIA,BRZESKA,28-09-2011
EWA,MARIA,TUZ,27-04-1965
KORNELIA,AGATA,WALKOWIAK,08-03-1973
VERONIKA,ELŻBIETA,JANICKA,03-09-1993
ANNA,EWA,CHOIŃSKA,25-04-2005
MAŁGORZATA,KATARZYNA,GLISTA,12-03-2000
BRYGIDA,MARTA,TRZEPACZ,11-01-1944
EWA,GRAŻYNA,PIEKUŚ,26-01-1964
ANHELINA,WANDA,DOBOSZ,22-05-2015
MARIANNA,DANUTA,BAZIUK,06-05-2021
STEFANIA,JANINA,LEONIK,15-04-1933
ANIELA,BEATA,WŁODARCZYK,02-09-1932
TERESA,MARTA,MATLAKIEWICZ,08-05-1956
ANASTASIIA,ANNA,ULIASZ,12-08-1944
HELENA,CECYLIA,KOSSOWSKA,21-12-1931
MARTA,AGNIESZKA,OKUNIEWSKA,11-12-1997
EMILIA,DANUTA,RĄCZKIEWICZ,15-07-2016
MAJA,ZOFIA,TRACIŁOWSKA,01-05-1940
AGNIESZKA,KATARZYNA,WOJDA,30-12-1971
MAŁGORZATA,MARIA,DZICZEK,02-04-1972
ANNA,IZABELA,RAFACZ,08-03-1983
EWELINA,SABINA,KARPIK,18-05-2000
MONIKA,KAZIMIERA,IDZIK,13-11-1997
GRAŻYNA,MARIA,LESZCZYŃSKA,02-11-2002
ALEKSANDRA,WIOLETTA,CZAJKOWSKA,26-01-2007
KATARZYNA,JADWIGA,JANUSZEWSKA,15-01-1963
BOGUSŁAWA,NATALIA,SMOLIŃSKA,10-04-2010
EDYTA,MARIA,CIECHANOWSKA,29-05-1926
MARIANNA,MARIA,TUREK,28-08-1946
WERONIKA,MARIOLA,PARADECKA,07-04-1988
ŻANETA,MARIA,POPKIEWICZ,17-08-1976
MARIA,KATARZYNA,HOLEKSA,02-04-2005
MAŁGORZATA,AMANDA,PYZIAK,25-07-2012
IZABELA,HANNA,ŁĘCZYCKA,27-02-2002
JADWIGA,JADWIGA,BURCHAK,18-09-2019
MAGDALENA,MARIA,WAISKOPF,02-01-2010
ALEKSANDRA,MAGDALENA,OLEWNIK,06-12-1997
PATRYCJA,JADWIGA,HOLUBKOVA,16-06-1985
DOROTA,IRENA,MUSIEJUK,14-07-1949
ZOFIA,HALINA,GĄDEK,28-03-1937
IRENA,AGNIESZKA,PIOTROWSKA,30-12-1928
NADIIA,MARIA,SASINOWSKA,23-06-2002
ANNA,ANNA,DĄBEK,22-01-1960
KATARZYNA,ANNA,SEMKOWICZ,15-04-1968
NADIA,JANINA,MILCZUK,23-10-2004
MAGDALENA,PATRYCJA,WOLSKA,25-11-2001
IZABELA,MARIA,KAMER,31-01-1932
BARBARA,MAŁGORZATA,KICKA,01-01-1949
BARBARA,ELŻBIETA,SEVASTIANOVA,07-07-1936
IGA,JÓZEFA,RUSIN,19-12-1976
STANISŁAWA,MARIA,ORMAN,04-05-1924
STANISŁAWA,STANISŁAWA,KACZMAREK,20-05-2012
AMELIA,MAŁGORZATA,BANOWSKA,23-09-1982
AGATA,BOGUMIŁA,CZENCZEK,10-03-2000
TERESA,DOROTA,RYCHLEŃSKA,01-04-2014
MARZENA,ANNA,KIEDOS,12-05-1951
MAGDALENA,PATRYCJA,KISIEL,25-03-2007
JOANNA,HALINA,KOMARNITSKA,17-06-1924
ZOFIA,VIOLETTA,MARCINIAK,27-06-1958
JOANNA,JOANNA,NISKA,21-08-1950
NATALIA,ZOFIA,KRASUSKA,24-04-2009
DANUTA,TERESA,RAMZA,22-12-1969
BARBARA,JOANNA,KONDRACIUK,17-02-2017
GABRIELA,ZOFIA,DOMIN,11-02-2020
BARBARA,MARIA,ZIELIŃSKA,28-07-1934
NATALIA,MARIA,OKRÓJ,16-08-1985
BARBARA,GRAŻYNA,CZECZOTA,22-02-1927
IZABELA,VIOLETTA,DYSZKIEWICZ,12-01-1942
MARIOLA,MARIA,KRAVCHENKO,06-08-1990
MARTA,ANNA,KYSLOVSKA,17-01-1941
OLIVIA,ANNA,MIERZWIŃSKA,24-07-1987
KATARZYNA,AGNIESZKA,ŻMUDZKA,13-01-1977
AGNIESZKA,MARIA,GLEŃ,03-08-1986
LIDIIA,MARIA,BUDKA,21-12-1945
DOMINIKA,TERESA,ZUZEL,17-11-1980
NIKOLA,MICHALINA,OLASEK,12-03-1935
ANNA,JADWIGA,IGNACZAK,07-08-2018
MARLENA,ZOFIA,OLSZEWSKA,05-05-1934
JUSTYNA,JULIA,ZAZIĘBŁO,12-06-1948
ANETA,ANASTAZJA,PIASECKA,27-09-1955
AGNIESZKA,MARIA,KOZARYN,21-04-1933
IWONA,JULITA,JARMUŻ,30-04-2016
IZABELA,MAŁGORZATA,KURP,26-06-1969
EWA,PAULA,ŚWITA,01-10-1967
CECYLIA,RENATA,MANZHOS,17-01-2016
RENATA,ANNA,PAKULSKA,07-04-1992
BEATA,MARIA,KŁAK,29-04-1941
GABRIELA,HELENA,SHPAHINA,14-09-1991
ALFREDA,ZOFIA,TURKIEWICZ,26-02-2022
SARA,DARIA,SZABLIŃSKA,04-11-2011
NATALIA,MARIA,JANISZEWSKA,12-12-1976
MARIIA,HELENA,PENDZIŃSKA,16-12-1969
YEVA,EWELINA,PAWLUŚ,14-07-2011
BARBARA,EUGENIA,CZARNECKA,26-11-2006
ALINA,MAŁGORZATA,SHYRKO,23-01-1978
RENATA,DANUTA,MADEJA,29-10-1970
KRYSTYNA,MAŁGORZATA,KALICIAK,21-05-1982
JULIA,ALEKSANDRA,BREMORA,15-09-1983
EWA,ZDZISŁAWA,BORKOWSKA,12-12-1943
KONSTANCJA,MARIA,SZYMIEC,23-01-1962
VIRA,ANNA,KRZYŻANOWSKA,18-07-2002
JANINA,ALEKSANDRA,FONOLLEDA MOROZ,10-12-1947
MAJA,MATYLDA,BUREK,09-07-1952
AGNIESZKA,JOLANTA,JURKIEWICZ,04-11-1975
ISABELLA,NADZIEJA,KRAUSE,25-09-1941
BOGUMIŁA,GRAŻYNA,CZOP,07-10-2009
TETIANA,MAŁGORZATA,LIBNER,09-11-1974
DANUTA,JANINA,JAKUBCZAK,21-07-1961
ILONA,GENOWEFA,GĄSEWICZ,23-11-2007
PAULINA,MARIA,SIDUN,09-11-2023
DOROTA,NATALIA,KARAPUDA,29-03-1952
JOANNA,ANNA,GOŁĘBIOWSKA,15-09-1928
JAGODA,MARIA,WIĄCEK,24-11-1965
ANNA,EWA,KLEPACKA,20-11-2012
WERONIKA,MARIA,PRZYTUŁA,15-09-2022
PAULINA,ELŻBIETA,KNAPIK,10-05-1984
EWA,ANTONINA,WIŚNIAK,01-03-2000
ANNA,NATALIA,KRAWCZEWSKA,29-11-2001
JADWIGA,TERESA,WARPAS,26-05-1929
RENATA,ALICJA,SOBCZAK,08-01-1994
OLENA,WIESŁAWA,SULKOWSKA,03-12-1955
ANGELIKA,MARIA,RUSINOWSKA,03-01-1938
IWONA,ELŻBIETA,SZUBERT,20-12-1996
JOLANTA,BOGUMIŁA,WASULA,09-04-1937
MARTA,ZUZANNA,MIERZEJEWSKA,30-03-2001
BARBARA,EWA,GASPEROWICZ,21-12-2008
KRYSTYNA,KINGA,DUŁAK,06-11-1936
SYLWIA,EWA,ŁOPATA,16-11-1936
ALINA,EDYTA,SKOREK,25-06-1948
KRYSTYNA,MARIA,BARAN,11-07-2016
EMILIA,ELŻBIETA,KOWALSKA,19-11-1992
WŁADYSŁAWA,JOANNA,MRUCZKOWSKA,29-12-1991
ELŻBIETA,HENRYKA,PAKUŁA,18-12-1990
ILONA,MARIA,SIWKO,22-02-2024
MARTYNA,JADWIGA,KUSIAK,22-05-1933
TERESA,MARTA,KORZEKWA,04-09-1944
DOROTA,GENOWEFA,GIERUN,17-03-1935
ANNA,AGATA,SHYMANOVSKA,16-05-1989
ALICJA,MONIKA,STEFAŃSKA,18-11-1998
DARIA,RENATA,POLAK-MAJEWSKA,29-08-1937
SOFIIA,HELENA,MELKHER,11-07-1990
MAŁGORZATA,KLAUDIA,FRONCZAK,02-02-2000
NICOLE,IWONA,KAMONT,02-05-1995
MONIKA,ZOFIA,KRAJEWSKA,11-05-1992
ELŻBIETA,LUCYNA,CHWALBA,19-05-1986
MAŁGORZATA,KAROLINA,MARASEK,27-01-1932
MAJA,WERONIKA,GODLEWSKA,11-06-1990
MARTA,KRYSTYNA,KOROL,16-07-1990
NATALIIA,ALEKSANDRA,HAWRO,23-08-1963
KATARZYNA,ANNA,JAROŃSKA,26-06-1989
LENA,STANISŁAWA,KULECZKO,30-11-1935
LILIA,WERONIKA,DUDEK,26-02-1982
EWELINA,MARIA,BARTUŚ,17-03-1945
CÉLIA,KRYSTYNA,GILAR,24-11-1976
MARIA,KAROLINA,ANDRZEJEWSKA,17-12-1950
HELENA,MAŁGORZATA,SZPECIŃSKA,26-04-1929
MARIA,JULIA,GROSMAN,17-02-1968
JADWIGA,KATARZYNA,WIĘCŁAW,21-02-2023
ANNA,MAGDALENA,SKOP,27-09-1955
NATALIIA,ANGELIKA,FEDTSOVA,08-12-2003
EDYTA,SABINA,WARZECHA,10-09-1979
HALINA,STANISŁAWA,AFTEWICZ,21-09-1959
ADRIANA,BEATA,TRAUTMANN,22-12-2020
KATARZYNA,ANETA,TSAROVA,20-01-1932
TETIANA,EWA,LUBCZYŃSKA,11-01-1970
AGNIESZKA,KATARZYNA,BLOCH,11-11-1983
MAJA,KATARZYNA,GANIEWSKA,09-02-1998
MONIKA,BEATA,KURYŁOWICZ,02-11-2022
AGATA,MAGDALENA,GÓRSKA,20-09-1978
EWA,GRAŻYNA,WALCZAK,12-03-1996
MAŁGORZATA,JULIA,HUGET,05-12-1959
KAROLINA,HANNA,HERDA,04-12-1929
NADZEYA,ANNA,GIERCZYK,31-08-1924
ZOFIA,ZUZANNA,SKRZYPEK,10-04-2003
ANTONINA,AGNIESZKA,MICHAŁKIEWICZ,16-03-1952
AGNIESZKA,ELŻBIETA,MIKINKA,27-08-1990
PAULINA,KINGA,CHMIELEWSKA,24-11-1944
JOANNA,MARIA,JARECKA,09-02-1941
KATARZYNA,EMILIA,JEZIORSKA,14-07-1935
NATALIIA,ANNA,ZAKRZEWSKA,07-06-1965
DANUTA,KRYSTYNA,BONIK,02-10-1981
ELŻBIETA,ZOFIA,BRODZIK,04-04-2010
GABRIELA,HONORATA,NEWMAN,09-10-1941
NATALIA,ANNA,DYJASIŃSKA,20-02-1984
ERYKA,MARTYNA,SARNOWSKA,03-07-1980
ELŻBIETA,MARIA,RYBAK,29-11-2017
URSZULA,ELŻBIETA,CITKOWSKA,24-03-2017
ALEKSANDRA,KLARA,PACHOLCZAK,03-10-2021
MAJA,TERESA,POŁEJKO,27-08-2006
ALEKSANDRA,BOGUSŁAWA,ZAKRZEWSKA,19-09-1937
KATARZYNA,ELŻBIETA,BARAN,22-01-1952
ZOFIA,MARIA,MAZUR,23-08-1983
DİDEM,ZDZISŁAWA,CHUCHNOWSKA,23-06-1993
KRYSTYNA,KAROLINA,PIEKARZ,04-01-2023
MIROSŁAWA,MARTA,DOPIERALSKA,12-10-1994
JOLANTA,KRYSTYNA,TOKARSKA,02-04-1946
KAROLINA,KRYSTYNA,NYDZA,25-10-2001
TETIANA,BARBARA,CHORĘBAŁA,21-09-1983
MARTA,GENOWEFA,WIĘCKOWSKA,14-04-1964
IZABELA,CECYLIA,MAMCARZ,16-10-1964
LIUDMYLA,BARBARA,PARYLAK,22-07-1938
DANUTA,NATALIA,WIERDAK,27-12-1930
MONIKA,ANNA,BANASIAK,26-06-1965
CZESŁAWA,PATRYCJA,PIEKIELNIAK,29-02-1928
RENATA,EWA,SKAWIŃSKA,17-04-2011
MARIA,OLGA,ZBRZESKA,03-01-1958
SYLWIA,MARIA,SZAFRAŃSKA,13-02-1985
JOANNA,ANNA,SMAGA,13-09-1938
MAŁGORZATA,HALINA,WALOTEK,07-06-2017
ALLA,DANUTA,PIAŚCIK,11-02-1933
KAROLINA,ELŻBIETA,ROGULA,29-01-1972
ELŻBIETA,MARIA,LIZONIAK,09-03-1933
ILONA,IRENA,SOLANOWSKA,07-02-1983
NADIIA,MARIA,KUNA,10-04-1944
DAGMARA,MAŁGORZATA,BURDA,04-02-2003
STEFANIA,ELŻBIETA,WIDEŁ,13-12-1952
ZOFIA,MAGDA,KORDECZKA,01-03-1970
IEVGENIIA,MAGDALENA,FAŁCZYŃSKA,31-05-1993
HALINA,AGNIESZKA,WĘSIERSKA,04-04-1949
JUSTYNA,KATARZYNA,BIAŁACH,31-01-1940
MARIANNA,ERYKA,TRAPOWICZ,15-08-1994
JULIA,KATARZYNA,WIŚNIEWSKA,07-02-2013
ELWIRA,NATALIA,WITCZAK,12-03-1970
MONIKA,WIKTORIA,GUTOWSKA,02-12-1974
ZOFIA,LIDIA,ECHOLC,22-06-1951
ŁUCJA,MARIANNA,NOVOKHATKO,30-09-1966
BARBARA,STANISŁAWA,KULPA,11-05-1954
HANNA,MARIA,MAIK,20-12-1968
YANA,SANDRA,ROGACKA,12-06-2015
SOFIIA,KATARZYNA,BIHUNIAK,10-10-1977
JULIA,MARIA,DURAJEWSKA,26-09-1945
EWA,JULIA,KRUPA,10-11-1960
WIESŁAWA,KATARZYNA,KOZAR,12-05-1967
HALINA,ANNA,WOJCIECHOWICZ,14-01-2008
HELENA,LUIZA,OBACZ,08-03-2017
OLENA,ANETA,ORŁOWSKA,08-08-1949
NATALIA,MARIANNA,CHERIAN,16-05-1951
BOŻENA,JOANNA,NOSYK,05-11-1978
BARBARA,IZABELA,KĘSEK,14-04-1998
EDYTA,KAMILA,BORUTA,01-07-1950
LIUDMYLA,ANNA,ORŁOWSKA,01-10-1989
WIKTORIA,TERESA,DANAK,07-02-1988
BARBARA,KATARZYNA,GAD,18-01-1970
BARBARA,ANNA,NIEMYSKA,23-12-2002
TERESA,EWA,MATUŁA,15-08-1964
ANETA,HENRYKA,URBAŃSKA,05-08-1961
STANISŁAWA,MAŁGORZATA,DĄBROWSKA,30-09-1998
MAJA,AMELIA,KUBATEK,28-04-1963
BOŻENA,KATARZYNA,WILANOWSKA,19-07-1958
DOROTA,EWA,MACH,25-07-2014
EWA,MARIA,KLEJNO,13-12-2009
FELICJA,MARIA,JANKOWSKA,23-10-2016
VIKTORIA,KAZIMIERA,MAJSNER,05-01-1986
KATARZYNA,MARIA,KUJAWSKA,12-09-1970
DARIA,WIESŁAWA,MAJCHROWSKA,08-03-1972
ANITA,GABRIELA,PAWŁOWSKA,21-09-2010
KATARZYNA,JANINA,JANKOWSKI,22-02-2022
BEATA,TERESA,MALIKOWSKA,14-03-2019
MILENA,MAGDALENA,ZATOKA,21-01-1933
HELENA,JULIA,DZIERŻĘGA,19-07-1957
JULIA,JADWIGA,IWANIUK,10-09-1930
IGA,MIROSŁAWA,BALCEREK,22-06-2010
KATARZYNA,BELACHEW,BOROŃ,20-08-1951
HENRYKA,EWA,SOPALA,12-08-1939
ANNA,BERTHA,ŻOCHOWSKA,11-09-2014
JOANNA,KORNELIA,MODRZEJOWSKA,31-01-1968
MARIIA,LYNN,KSOBIAK,01-12-1944
BOŻENA,PELAGIA,ARKHIPOVA,30-05-1959
ZUZANNA,EWA,ŻOŁYŃSKA,11-09-1981
GABRIELA,JANINA,BALCEROWICZ,04-12-1932
LARYSA,ANNA,FILIMON,04-06-1996
ALICJA,MARTA,NIKIEL,19-08-2018
TERESA,BOGUSŁAWA,ŻABIŃSKA,12-01-1956
ELŻBIETA,JUSTYNA,IVASIV,23-02-1953
ALICJA,BARBARA,BADUREK,15-09-1968
AMELIA,MARIA,TUROŃ,11-06-1990
JULIA,STANISŁAWA,CHMIELEWSKA,06-09-1945
MILENA,MARIA,JARZYNA,26-06-2014
KRYSTYNA,MONIKA,KRAVCHENKO,27-09-2015
MARIANNA,KRYSTYNA,GIERLACH,28-12-2002
VALENTINA,MARIA,KWATEK,28-06-1971
MICHALINA,MAŁGORZATA,PIETRALA,31-05-1997
KAROLINA,AGNIESZKA,WIZŁA,28-01-2020
JULIA,MAŁGORZATA,BAGIŃSKA,17-08-1971
MAGDALENA,BOGUMIŁA,KLINCEWICZ,31-08-1974
JUSTYNA,BOGUSŁAWA,PAUTER,30-12-1928
BARBARA,ELŻBIETA,ŚWIDROWSKA,05-09-2022
NATALIA,MARIA,ADAMCZYK,05-04-2002
LENA,ELWIRA,DRĘTKIEWICZ,21-03-1939
MAŁGORZATA,EWA,MARCZYSZYN,08-07-2000
HELENA,LUDMIŁA,NIEBRZYDOWSKA,03-04-2013
PAULINA,ANNA,SAŁDAN,01-03-2017
ALEKSANDRA,MARIA,UJAS,10-08-1991
WIKTORIA,MONIKA,KORNATA,11-07-1996
JANINA,ALICJA,SZCZEPANIAK,16-08-1998
ALEKSANDRA,MARIA,MATOSEK,22-06-1985
IRYNA,KRYSTYNA,HALEMBA,13-02-1987
JOANNA,JADWIGA,BOTOR,08-02-1932
ALICJA,MARIA,PISARSKA,26-12-1967
ZOFIA,ANNA,GRZEBIEŃ,21-11-2002
MALWINA,EWA,ZAJDEL,07-03-2018
OLHA,AGNIESZKA,SZYDŁO,19-08-1996
DOROTA,STANISŁAWA,RZOŃCA,23-07-2023
ANIELA,MARIA,DZIEWIC,30-09-1977
MARTA,JADWIGA,PASTUCH,08-07-2018
NADIA,LUCYNA,JASKÓLSKA,08-07-1970
EMILIA,GRAŻYNA,BUDEK,11-09-2020
TERESA,GABRIELA,NOWAK,18-01-1932
LENA,EWA,BOROWSKA,12-05-1929
WIKTORIA,BARBARA,CZYŻEWSKA,22-04-1958
MARIOLA,MARIA,GRABOWSKA,26-03-1984
ALEKSANDRA,ZUZANNA,ITKIEWICZ,24-10-1957
MONIKA,EDYTA,DUŻALSKA,01-01-1996
ANNA,MARIA,PODGÓRSKA,03-10-2004
ORINA,ALEKSANDRA,LISTOWSKA,26-01-1954
LENA,JADWIGA,OVCHARENKO,19-05-1992
MILENA,PATRYCJA,SPRYSAK,10-11-1945
SYLWESTRA,URSZULA,GĄSTAŁA,16-01-1981
KAZIMIERA,MONIKA,CHĘĆ,16-11-1963
GABRIELA,BARBARA,CHORĄŻY,03-09-2015
KAJA,MIROSŁAWA,GORCZYCA,23-10-2000
BEATA,MAGDALENA,ZAORSKA,04-09-2000
ANNA,ANNA,OBARA,08-11-2017
KRYSTYNA,JOLANTA,JANIAK,25-05-1994
MARYNA,BRONISŁAWA,KRUPA,24-09-1996
KATARZYNA,KATARZYNA,MILEWSKA,24-12-1941
IRENA,ANNA,WALTER,05-05-1977
PAULINA,MONIKA,KONEFAŁ,22-04-1926
MAGDALENA,MAGDALENA,MARCINIAK,31-10-2007
TERESA,BOGUMIŁA,FIŁEK,11-11-1950
KRYSTYNA,ELŻBIETA,PACYNA,17-06-1980
KAROLINA,ANNA,RADWAŃSKA,02-09-2020
KATSIARYNA,ANNA,SIELĄG,04-01-1950
KAROLINA,LUCYNA,SPALIŃSKA,14-09-1939
SABINA,ANNA,FECKO,18-01-1975
MAJA,BEATA,BYKOWSKA,23-04-1941
BEATA,KAMILA,KWATER,19-04-1953
MONIKA,ANNA,BENDERETS,07-06-1999
MARIOLA,ALICJA,SAKRAJDA,28-09-2005
EUGENIA,BOGUSŁAWA,BŁASIAK,01-06-1934
OLHA,EWA,SZCZEPANIAK,02-09-1965
BARBARA,ANNA,CZARNECKA,18-03-1949
LIUDMYLA,BOŻENA,KĘSIK,28-04-1981
VARVARA,MARIA,LITTERA,08-02-1979
