PIERWSZE_IMIĘ,DRUGIE_IMIĘ,NAZWISKO,DATA URODZENIA
MACIEJ,STANISŁAW,KAZANOWSKI,20-06-1946
EDWARD,MICHAŁ,BARNIK,31-12-1983
ALEKSANDER,MARIAN,BEDNARCZYK,02-08-2005
MAREK,JÓZEF,FRANCZYSZYN,22-12-2016
HENRYK,ALEKSANDER,KUCZYŃSKI,15-10-1953
ANDRII,JAN,PODPINKA,09-10-1950
WOJCIECH,PIOTR,WOJTCZAK,07-03-1946
ZYGMUNT,HUBERT,WIŚNIEWSKI,22-04-1998
MIKOŁAJ,ANTONI,BRANDYS,24-04-2014
DAWID,GRZEGORZ,JUREK,05-01-1989
ADRIAN,MIECZYSŁAW,BIEDROŃ,28-02-1954
LUKAS,ŁUKASZ,BOSACKI,25-12-2003
JAN,ZDZISŁAW,HYLIŃSKI,02-10-1932
PIOTR,EUGENIUSZ,DALKIEWICZ,21-12-2000
MARIAN,WIESŁAW,CHODUN,21-02-1954
PATRYK,JÓZEF,FRYT,24-03-1954
MAREK,ZYGMUNT,ZAKRZEWSKI,19-08-2016
PIOTR,DAMIAN,PASICH,18-01-2002
SERHII,STANISŁAW,POPIELARZ,21-02-1948
JAN,MIKOŁAJ,CHRZAN,17-06-2003
ANTONI,TADEUSZ,ŁOZOWSKI,08-08-1952
JERZY,ADRIAN,GRZĘDA,28-12-1961
ANTONI,ANDRZEJ,ŁUSZKIEWICZ,01-01-1944
BARTOSZ,MARIAN,KOWALSKI,27-07-1994
JAN,ANDRZEJ,SAWICKI,17-09-1936
WILHELM,JOSÉ,KOTOWSKI,01-05-2011
MARCIN,JÓZEF,FIRLEJ,24-05-2020
PAWEŁ,MATEUSZ,CICHOCKI,29-10-1974
FILIP,WOJCIECH,MROZIK,08-01-1941
JAN,RYSZARD,MAŁECKI,15-03-1971
STANISŁAW,PIOTR,GROMADA,03-11-2023
DANIEL,KAZIMIERZ,SYSKA,20-03-1978
ANTONI,FRANCISZEK,JAWORSKI,20-08-1938
BORYS,SZYMON,PIETRUCH,16-06-1969
GRZEGORZ,ŁUKASZ,RĘKAS,13-01-1954
CZESŁAW,JAN,WAWOCZNY,22-03-1990
CEZARY,HENRYK,OBLIŃSKI,19-08-1980
PIOTR,JÓZEF,KUZDRAJ,01-07-1971
PIOTR,PIOTR,BOBRO,14-05-2001
ŁUKASZ,STANISŁAW,ADAMEK,03-07-1972
TOMASZ,JACEK,MOŁOCZNIK,20-04-1962
STANISŁAW,WALDEMAR,ZAWADZKI,19-04-1991
MAREK,PATRYK,STAWOWY,14-08-2003
TOMASZ,KRZYSZTOF,DOROSZUK,09-06-2021
DARIUSZ,EDWARD,KUDELSKI,29-03-2003
MARIAN,AUGUST,ROJEWSKI,15-10-1931
JULIAN,STANISŁAW,BABCZYŃSKI,26-04-1944
PAVLO,ANDRZEJ,SZCZĘSNY,12-01-2013
NORBERT,ADAM,VELYCHKO,01-09-1977
JAN,ŁUKASZ,OVSIICHUK,17-04-1982
JAKUB,PIOTR,SHEPETKO,28-12-1982
BRONISŁAW,ADAM,DROŹDZIEL,29-06-1930
RAFAŁ,ROBERT,JARZYŃSKI,19-10-1978
ŁUKASZ,MAREK,PYTKO,15-09-1924
TOMASZ,ZDZISŁAW,JAREMEK,02-07-1964
PIOTR,JÓZEF,KABAKOV,28-07-2023
KAMIL,WOJCIECH,MATANOWSKI,20-10-2014
JANUSZ,PAWEŁ,MAREK,04-11-2019
MYKOLA,PATRYK,TUREK,20-03-1956
DARIUSZ,ALEKSANDER,SIEMIENIECKI,20-12-2017
ANDRZEJ,RAFAŁ,ZDUŃCZYK,03-02-2019
MARIAN,ARTUR,MUSIOŁ,29-12-1993
ANDRZEJ,MIECZYSŁAW,WŁODARCZYK,21-09-1943
DAWID,FRANCISZEK,DWORECKI,22-04-2004
MATEUSZ,KAROL,AHAFONAU,18-09-1933
RYSZARD,JAN,ISZTOK,11-08-1924
JAROSŁAW,ŁUKASZ,ZMYSŁOWSKI,15-04-1977
ROBERT,ADAM,CHOTJA,04-09-1933
DAWID,MIROSŁAW,BABACHENKO,29-12-2002
PRZEMYSŁAW,ADAM,WÓJCIK,27-01-2024
LESZEK,BRONISŁAW,OLEKSY,01-09-1966
ANDRZEJ,MARCIN,DRABIK,03-05-1932
MAKSYMILIAN,WŁADYSŁAW,RAJEWSKI,12-09-2001
ADAM,KRZYSZTOF,KRYSIAK,24-05-1995
DAGIM,STANISŁAW,KUBALA,06-08-1934
JAKUB,JAN,SIWAK,01-05-1986
WOJCIECH,MARCIN,IASHVILI,05-12-2013
TADEUSZ,ŁUKASZ,SKRYPOCZKA,05-03-2009
JAKUB,ANTONI,ROBEK,28-11-2008
OLAF,ALEKSY,GAWEŁ,28-08-1990
DAMIAN,RAFAŁ,PETRASHCHUK,15-03-2012
NAZAR,JUSTYN,GÓRNIK,09-12-1993
BARTOSZ,JÓZEF,FIKUS,29-06-2000
SEBASTIAN,NIKODEM,KRIESE,25-01-1962
TADEUSZ,MARIAN,OLSZAK,29-09-1987
TOMASZ,CZESŁAW,PABIŚ,25-04-2014
JACEK,PAWEŁ,SZLINGIERT,31-03-1966
RYSZARD,KRZYSZTOF,ZIOBRO,27-05-2021
REMIGIUSZ,PIOTR,CZEMIEROWSKI,29-03-1990
JAKUB,WOJCIECH,BEDZIO,12-03-1990
NORBERT,ROBERT,WALISZEWSKI,01-03-1998
PAWEŁ,JAN,WOJCIESZAK,02-07-1956
VLADYSLAV,PIOTR,SCHLUMM,02-06-1989
SŁAWOMIR,IGNACY,HOLUSZA,13-04-1988
MATEUSZ,VICTOR,SZYDŁO,12-12-1959
ROBERT,ROBERT,SUDOŁ,24-06-1981
KRZYSZTOF,KRZYSZTOF,JADCZAK,22-11-1929
WOJCIECH,MIECZYSŁAW,RUSEK,25-10-1944
JAN,TOMASZ,FURMANIAK,20-07-2020
KACPER,JAN,WRÓBEL,03-12-1951
WOJCIECH,MARIAN,ŻABSKI,14-03-1973
ANTONI,MARCIN,WICIŃSKI,02-05-1941
FRANK,JERZY,DRENDA,19-10-1956
SŁAWOMIR,ZBIGNIEW,KUBACIK,06-10-1993
PRZEMYSŁAW,MAREK,WÓDCZAK,20-06-1992
PIOTR,KRZYSZTOF,RUSAKOU,22-05-1970
VOLODYMYR,KRZYSZTOF,ROCH,09-05-2014
MAREK,ZDZISŁAW,WDZIĘKOŃSKI,12-04-1997
JANUSZ,JÓZEF,GRZEŚKA,27-01-1935
MICHAŁ,WOJCIECH,PITYK,22-10-1996
SŁAWOMIR,ADAM,DĄBROWSKI,17-07-1985
PAWEŁ,ADAM,LASKOWSKI,13-05-2008
BARTŁOMIEJ,JÓZEF,DYMEK,19-04-2004
PIOTR,PIOTR,DZIADKOWIEC,28-06-1977
MYKHAILO,GRZEGORZ,SZUMOREK,27-11-1973
ZBIGNIEW,NORBERT,LYSENKO,16-05-1993
WIKTOR,JÓZEF,SIĆKO,29-09-1965
ŁUKASZ,HENRYK,WYSOCKI,18-01-1969
ADAM,PAWEŁ,SHULGAN,17-04-2009
MATEUSZ,KAMIL,HAJDUK,07-05-2009
ARTEM,PAWEŁ,TALARCZYK,27-04-1982
KRYSTIAN,ŁUKASZ,BARADZIEJ,11-07-1992
ŁUKASZ,ŁUKASZ,GRABOWSKI,28-02-1941
MIROSŁAW,JAN,DEWOR,02-09-1970
FRANCISZEK,BOGDAN,NADŁONEK,14-07-1968
WLADYSLAW,JÓZEF,ŚLIŻEWSKI,23-01-1928
ARTEM,ZENON,OLEKSAK,04-09-1986
WALDEMAR,ROMAN,WYSOCKI,30-07-1995
JULIAN,ZBIGNIEW,MELLER,05-08-1973
DOMINIK,TADEUSZ,JAKUBCZAK,21-05-1951
FRANCISZEK,SZYMON,FOGT,21-01-1945
ARKADIUSZ,JACEK,GRYTA,16-08-2005
KRZYSZTOF,JÓZEF,MARĆ,03-09-1934
MICHAŁ,PIOTR,PRZYBYŁA,19-07-1939
KAROL,ŁUKASZ,NEVIRETS,19-03-1975
SŁAWOMIR,FRANCISZEK,KLEHR,29-12-2013
JAN,ZENON,LIPOWIECKI,28-10-2002
ZBIGNIEW,TOMAS,BYSZEWSKI,27-05-1925
WACŁAW,ANDRZEJ,BUZAŁA,23-05-1929
ADAM,WOJCIECH,PNIEWSKI,01-03-1986
KAROL,KRZYSZTOF,RUPAŁA,08-07-1951
RAFAŁ,MARCIN,BLIŹNIAK,07-05-1991
ADAM,DARIUSZ,STĘPIEŃ,21-01-2012
ŁUKASZ,JERZY,BINKOWSKI,22-12-1926
KACPER,WALDEMAR,LISZKA,02-07-1973
HENRYK,TOMASZ,SZCZEKUTEK,11-10-1991
VADIM,JERZY,SOBCZAK,16-07-2007
JANUSZ,SŁAWOMIR,BASAK,11-11-2010
ADAM,OLAF,BRUDZIŃSKI,24-12-1935
ROBERT,KAZIMIERZ,JANISZEWSKI,13-09-1951
DAWID,DANIEL,ROSPONDEK,28-04-1995
WIKTOR,WOJCIECH,SKONIECZEK,27-04-1988
SŁAWOMIR,ROMAN,ADAMSKI,22-01-1925
RADOSŁAW,STEFAN,ŚWIĄTKOWSKI,25-10-1951
MIKOŁAJ,PAWEŁ,PUSTUŁ,18-05-2017
KRZYSZTOF,ROMAN,ŻYZAŃSKI,15-07-1938
DARIUSZ,JAKUB,KOPEĆ,11-03-1943
MIŁOSZ,JAN,OCZKOWSKI,24-12-1999
GRZEGORZ,ŁUKASZ,BURAS,05-09-1965
DARIUSZ,DAMIAN,RUDNICKI,02-05-2020
RAFAŁ,JACEK,MATYSHEIKO,21-07-1995
MARCIN,DAVID,ZIELIŃSKI,26-03-1935
PIOTR,RYSZARD,CHOLEWA,26-04-1977
ANTONI,JAN,KOWALSKI,14-03-2011
SEBASTIAN,BOGUSŁAW,STADLER,30-09-1939
DZMITRY,TOMASZ,DZIURZYŃSKI,11-03-1972
FILIP,JAKUB,SKROBIRANDA,24-05-2019
ZBIGNIEW,MAREK,PIOTROWSKI,26-02-1991
ADAM,PAWEŁ,LESZCZYŃSKI,29-06-2010
TOMASZ,JÓZEF,WOJTALA,14-05-1934
GRZEGORZ,FILIP,RUSZKOWSKI,15-11-2014
SEBASTIAN,KONRAD,RYTEL-KUC,06-04-1941
JAKUB,JERZY,TRZCIAŃSKI,10-10-1965
MAREK,DOMINIK,STACHACZ,26-09-1987
KAZIMIERZ,ANDRZEJ,TOMASEVSCHI,17-04-1932
CZESŁAW,MACIEJ,DEMBICZAK,28-12-1960
JAKUB,KAZIMIERZ,SZPARA,31-12-1947
ROBERT,SZYMON,WYSZOMIRSKI,25-09-1991
MILAN,ANDRZEJ,TYBURCZY,20-11-1995
DOMINIK,KAZIMIERZ,CIOŁCZYK,06-05-1977
DOMINIK,STANISŁAW,GOŁĘBIEWSKI,06-05-2021
ZYGMUNT,ANDRZEJ,ŚLEDŹ,11-07-1951
ANDREI,MAREK,CHOIŃSKI,01-02-1979
GIORGI,EDWARD,KUBAN,14-06-2014
MATEUSZ,MICHAŁ,KARPIERZ,08-07-2006
JANUSZ,MARIAN,CZAPIK,09-11-2010
RAUL,JÓZEF,KRÓL,07-02-1943
LEOPOLD,ROMUALD,CHOJNACKI,25-11-1944
JERZY,DANIEL,EKALADZE,27-01-1958
IGOR,BOLESŁAW,SEWERA,31-12-1957
RICHARD,MICHAŁ,ŁASZEWSKI,01-03-2021
WIESŁAW,PAWEŁ,WIJATA,12-12-1950
MIROSŁAW,MICHAŁ,LEWOŃCZUK,18-01-1987
JAN,DAMIAN,KANARKOWSKI,20-01-1925
KAZIMIERZ,GRZEGORZ,GARAJ,14-02-1961
MACIEJ,SYLWESTER,KHOLIAVKO,07-11-1978
KAZIMIERZ,ANTONI,KOWALCZYK,19-11-1969
KAMIL,PIOTR,KARPIERZ,10-03-1954
KIRIL,BARTOSZ,TARCZYŃSKI,06-05-1933
IRENEUSZ,KRZYSZTOF,WOLANIN,18-12-1980
RAFAŁ,KRYSTIAN,RAK,06-01-2006
WŁODZIMIERZ,KAMIL,CHMARZYNSKI,30-04-1937
IWO,EMIL,KRASSOWSKI,18-11-1990
ERWIN,JERZY,STEFANIAK,01-03-1986
BARTOSZ,MARIAN,ZALAS,12-06-2017
GHENADIE,ANDRZEJ,KUBALSKI,09-12-1948
MATEUSZ,DOMINIK,DĘBOWSKI,23-10-1984
ARTEM,MARCIN,KUŹMICZ,16-10-1924
STANISŁAW,IGOR,PŁOTKA,01-06-2011
VASYL,BRUNON,FERDA,01-01-1977
KAZIMIERZ,HEINRICH,BANDURA,22-12-2023
VASYL,RAFAŁ,SZYMAŃSKI,23-11-1955
NGỌC THIÊN,MIROSŁAW,KUROWSKI,03-01-1971
ZBIGNIEW,TADEUSZ,CHMIEL,06-06-1968
SEBASTIAN,MARIAN,RUSZKIEWICZ,29-06-2005
FRANCISZEK,GRZEGORZ,DONETSKYI,10-03-2013
LESZEK,JACEK,GAC,17-02-1987
RAFAŁ,KRZYSZTOF,SIWONIA,14-06-1975
JAN,FRANCISZEK,KOZŁOWSKI,19-07-2016
DMYTRO,PRZEMYSŁAW,ZABOROWSKI,10-05-1968
KACPER,TOMASZ,SURMA,10-07-1975
PIOTR,PIOTR,SZUPŁAK,22-07-1926
BOGDAN,DOMINIK,STACHERA,18-02-1986
KRZYSZTOF,ANDRZEJ,BUJNOWSKI,13-05-1963
SZYMON,ANDRZEJ,KŁYSZ,15-03-1969
RAFAŁ,MATEUSZ,STOICHEV,26-06-2009
PAWEŁ,PAWEŁ,GRZESŁO,01-02-1947
MICHAŁ,JÓZEF,SHCHEKACHYKHIN,31-03-1951
MARIAN,MAREK,NOETZEL,04-02-1943
MIROSŁAW,JERZY,KOLBAEV,08-12-2011
SŁAWOMIR,GRZEGORZ,WĄSOWSKI,26-01-2001
BRIGHT,DOMINIK,MOSZCZYŃSKI,14-10-1951
MACIEJ,JÓZEF,TUDRUJ,05-07-1988
JANUSZ,JAROSŁAW,PODGÓRSKI,06-11-2004
DAWID,MICHAŁ,BROSŁAWSKI,10-07-1934
MARCIN,MAREK,FRYDRYSZEK,15-03-1967
MARKUS,KAROL,KACZOROWSKI,02-04-1956
STANISŁAW,GRZEGORZ,SŁOMCZYŃSKI,10-04-2003
EUGENIUSZ,BOGDAN,BIELKA,10-01-2023
ADAM,CYPRIAN,MAJECKI,05-05-1970
WIKTOR,ANDRZEJ,TOPOROWSKI,28-09-1978
RUSLAN,MICHAŁ,BRONISZEWSKI,24-05-2020
KAZIMIERZ,WOJCIECH,SZCZERBA,27-07-1951
MIECZYSŁAW,RYSZARD,ŚCIUBEŁ,15-11-1967
REMIGIUSZ,MIKOŁAJ,PEŁKO,27-10-1995
MIKOŁAJ,WOJCIECH,ŁOBOCKI,13-11-2007
MIŁOSZ,STANISŁAW,MATOLICZ,26-01-2018
PAVEL,GRZEGORZ,GORZELAK,14-09-1927
MAKSYMILIAN,MIECZYSŁAW,FEDIUK,01-12-2019
PATRYK,DARIUSZ,MARAS,07-07-1960
JAN,RYSZARD,MIOTK,25-02-1946
EDWARD,PATRYK,CIACHOROWSKI,02-01-1950
DZMITRY,ZBIGNIEW,ORMOTSADZE,16-07-1931
PAVEL,MARIUSZ,CZERNIEWICZ,23-09-1937
JULIAN,JÓZEF,CHANG,16-03-1984
TADEUSZ,ROBERT,ZAMOJSKI,24-12-2015
MIROSŁAW,KRZYSZTOF,WINIARSKI,28-06-2008
DANIEL,ADRIAN,WACHOWIAK,23-01-1956
SZYMON,FRANCISZEK,KUBSKI,06-11-1957
DAMIAN,PAWEŁ,GREŚ,24-03-1972
ARTEM,JAN,FAŁDOWSKI,18-04-1943
DANIEL,TOMASZ,KURYTSIA,13-08-1951
ALEKSANDER,WOJCIECH,WIĘTCZAK,25-07-1924
HENRYK,BOGDAN,BABII,15-05-1988
MAKSYM,DARIUSZ,MROCZKA,05-02-1945
JABA,JACEK,WRONKA,10-06-2015
STANISŁAW,RAFAŁ,MOGA,12-02-1986
ROMAN,GRZEGORZ,SZCZEGIELNIAK,26-12-1996
DMYTRO,EDWARD,DOBOSZ,06-10-2023
RAFAŁ,JAN,KAFAROV,06-11-2015
ZBIGNIEW,ANDRZEJ,MARTYNEK,14-04-1949
PIOTR,HUBERT,KARCZEWSKI,19-02-2008
ŁUKASZ,PAWEŁ,TAMULSKI,08-06-1938
RAFAŁ,PIOTR,LIPIŃSKI,26-03-1925
BARTOSZ,KAMIL,RAKOCZY,24-09-1964
JAKUB,BOGDAN,KARKOWSKI,03-12-1933
NODIRBEK,MAKSYMILIAN,GIEROŃ,04-06-1933
PAWEŁ,RYSZARD,YATSIUK,08-12-2007
ARTUR,MARIAN,SKALSKI,27-07-1935
MYKOLA,KRZYSZTOF,BYSTRANOWSKI,18-07-1999
JAN,EUGENIUSZ,RZEPECKI,11-09-1976
MICHAŁ,WOJCIECH,STAWOWCZYK,05-05-1983
WIESŁAW,PIOTR,PRZELASKOWSKI,04-12-1990
TOMASZ,JAROSŁAW,PIELOSZCZYK,31-07-1934
HENRYK,MIECZYSŁAW,OPRZYŃSKI,29-12-1970
WIKTOR,PAWEŁ,CAP,16-09-1942
ŁUKASZ,PATRYK,NANDZIK,06-10-1989
MOHAMED,ZBIGNIEW,CHERKASHYN,17-10-1997
KRZYSZTOF,BOGUSŁAW,DMOCHOWSKI,17-02-2005
ALEKSANDER,PAWEŁ,NOWAK,23-08-1987
PIOTR,TADEUSZ,PACUŁA,25-04-1924
STEFAN,WOJCIECH,DANIŁOWSKI,07-05-1955
ALEKSANDER,JAN,CHOPYK,19-05-1991
RYSZARD,MAREK,GRAMSZ,24-12-1949
JAN,MAREK,ARMACKI,21-02-2018
MAREK,TELESFOR,GĄSIOROWSKI,10-03-1943
BŁAŻEJ,PAWEŁ,SCHMIDT,24-12-2012
RYSZARD,TOMASZ,LARKOWSKI,14-09-2022
ARKADIUSZ,KRZYSZTOF,SZTABNICKI,18-01-1967
DOMINIK,JAN,CEREMUS,30-12-2022
JAKUB,MATEUSZ,NOWAK,27-08-1926
DAMIAN,JANUSZ,PERCZAK,17-12-2004
TENGIZI,JÓZEF,KOSTRZEWA,15-09-1979
KAMIL,ZBYSZKO,SZCZYGLEWSKI,03-05-2008
ROBERT,JAKUB,SHENGELIA,15-07-1988
GRZEGORZ,BARTOSZ,ŻERDECKI,14-10-1968
KACPER,MIROSŁAW,KLIMIANKOU,23-08-1938
KACPER,PIOTR,KRAJEWSKI,11-02-1928
GRZEGORZ,JERZY,HANDZEL,11-04-2010
SZYMON,JAN,STOLARSKI,25-10-1978
ALAN,PIOTR,ALIEVI,17-04-1925
PAWEŁ,BARTOSZ,BARCZEWSKI,29-08-1979
CEZARY,PAWEŁ,PODSIADLIK,08-05-1947
WIKTOR,WALDEMAR,CHOROBA,25-04-1989
MIROSŁAW,BERTIL,CHAŁUPKA,22-02-1997
HENRYK,ROBERT,CIELESZ,16-07-2023
KRZYSZTOF,SŁAWOMIR,LAMKIEWICZ,09-12-1976
KAMIL,ANDRZEJ,TOMASIK,01-11-1961
LESZEK,JERZY,ZAMKOWSKI,05-03-1972
ROBERT,JÓZEF,JAŚKIEWICZ,09-12-2021
KRZYSZTOF,JAN,MAJERCZAK,11-10-2005
JAN,STANISŁAW,STAWOWCZYK,26-12-1939
KONRAD,ŁUKASZ,KYRYK,22-11-1987
MICHAŁ,MARCIN,SZCZYGIEŁ,16-02-2003
SZYMON,JERZY,VAN DEN BOSSCHE,10-06-1952
DAMIAN,GERARD,RUPCHEV,28-02-1987
KRZYSZTOF,ZBIGNIEW,REINERT,15-01-2011
ZDZISŁAW,MAKSYMILIAN,MARTINKA,20-03-1975
ELVIN,DANIEL,CAL,04-10-1928
TOMASZ,STANISŁAW,AMRAKHOV,01-06-1982
DOMINIK,JÓZEF,GÓRECZNY,01-07-1943
STANISŁAW,KRZYSZTOF,ILNICKI,10-09-1941
KACPER,JAROSŁAW,BRĄCZYK,28-01-2000
ANDRZEJ,GRZEGORZ,MALINOVSKYI,04-10-1970
MICHAŁ,JANUSZ,NOWAK,25-07-1937
JERZY,EUGENIUSZ,GIERUSZ,02-08-1936
PAWEŁ,PIOTR,BOREK,04-02-1943
ZBYSZEK,FILIP,SOPPA,24-01-1990
ŁUKASZ,PAWEŁ,KUCHERUK,15-03-1950
LESZEK,ZYGMUNT,HULAK,22-12-1956
JAKUB,JAN,SACZKOWSKI,12-01-1998
DARIUSZ,JAN,DUDZIC,27-01-1945
ADAM,MIROSŁAW,POLAK,10-09-1994
ROBERT,ANDRZEJ,ZIENTEK,21-11-1983
FIKRET,EDWARD,BINERAT,15-06-2013
SZYMON,MICHAŁ,BANAŚ,18-03-2012
ANTONI,MAREK,FRĄCZ,13-02-1971
FILIP,CEZARY,IWANEK,23-06-1992
PAWEŁ,RAJU,BUGNO,08-03-1938
ADAM,MAREK,DOBOSIEWICZ,25-01-1957
ZDZISŁAW,MARCIN,FARAZ,30-04-1943
PIOTR,SZCZEPAN,PALUCH,19-11-1973
MICHAŁ,JAN,STANKIEWICZ,17-01-1945
TOMASZ,ROBERT,OLMA,18-09-1932
MICHAŁ,MARIAN,WARDA,06-11-1968
PATRYK,LESZEK,MIZERSKI,20-10-1989
PIOTR,TOMASZ,CHERNIAVSKYI,11-12-1938
MICHAŁ,MARCIN,ŻAK,11-03-1974
TOMASZ,KAZIMIERZ,BARANOWSKI,05-08-1956
DENIS,CZESŁAW,MILEWSKI,12-09-1952
JAKUB,PAWEŁ,BOROWSKI,22-04-1994
MICHAŁ,FRANCISZEK,MISZKIEWICZ,07-10-1935
DAWID,FILIPE,LICHWA,27-07-1957
KAMIL,WŁADYSŁAW,WÓJCIK,06-10-2020
JAROSŁAW,PIOTR,FRITZ,09-06-1975
KRZYSZTOF,IGNACY,LEWERA,11-03-1956
MYKHAILO,ADAM,URBAS,08-01-1971
TOMASZ,PAWEŁ,KUZNIATSOU,26-10-1949
SZYMON,LESŁAW,KRAWCZYK,04-07-1948
ADAM,MIROSŁAW,BĘBEN,12-10-2013
MACIEJ,RAFAŁ,GURBIEL,03-07-2015
PAWEŁ,MICHAŁ,DOMIN,30-09-1938
JAN,ROMAN,MIERZEJEWSKI,10-01-1934
DOMINIK,STANISŁAW,ŁĄGIEWKA,17-09-2006
TIMOTE,PIOTR,KRZĘPIEC,11-03-1988
BARTOSZ,DOMINIK,PUSTELNIK,18-11-1961
NORBERT,KRZYSZTOF,PARA,07-12-1975
MIROSŁAW,BOGUMIŁ,KUTS,29-10-1989
SERGIUSZ,DAWID,SZKUDLAREK,01-03-1977
DAVID,JERZY,GAZUREK,09-04-1942
BARTOSZ,FRANCISZEK,HONCHAREVYCH,25-05-1996
GRZEGORZ,JÓZEF,DYLIK,19-01-1939
SZYMON,MATEUSZ,GRUDZIEŃ,03-11-1970
JAKUB,KAZIMIERZ,TIRKIA,11-10-1997
TYMOTEUSZ,STANISŁAW,CZARNECKI,15-02-2013
MIŁOSZ,MARIUSZ,OŻÓG,21-06-2010
WOJCIECH,PAWEŁ,MISZAK,01-09-1939
MACIEJ,GRZEGORZ,PIWOWARCZYK,19-05-2016
WOJCIECH,STANISŁAW,LAZAROVYCH,09-03-1997
TOMASZ,CYPRIAN,TOMA,31-10-1983
JANUSZ,STANISŁAW,PUSTKOWIAK,29-05-1996
VITALII,HENRYK,SZWAMBER,26-03-1952
CEZARY,JANUSZ,SOBALA,19-01-1948
JERZY,EUGENIUSZ,WASILEWSKI,02-06-2002
MAKSYMILIAN,MARCIN,SKRZYPCZAK,07-06-1928
MARCIN,KRZYSZTOF,SIKORA,08-04-1930
JANUSZ,KAZIMIERZ,BEŁCH,08-01-2015
SEBASTIAN,TADEUSZ,WRÓŻ,09-11-1993
JAKUB,DARIUSZ,SZELĄG,29-05-1949
JANUSZ,PAWEŁ,ZAŁĄCZKOWSKI,26-01-2023
PETRO,PAWEŁ,SAWICKI,16-05-1988
DAWID,FRANCISZEK,MIKOŁAJCZYK,11-07-1930
NIKODEM,JACEK,BANAŚKIEWICZ,04-02-2019
KRYSTIAN,TOMASZ,KORDULSKI,05-05-2020
VLADYSLAV,SYLWESTER,KAMIŃSKI,10-07-1966
KRZYSZTOF,JAKUB,GAJEWSKI,31-08-1977
VADYM,PIOTR,CZARNECKI,19-09-2013
ŁUKASZ,BOLESŁAW,NAWOJOWSKI,25-12-1956
DAWID,STANISŁAW,KUKLA,02-02-1947
KRZYSZTOF,JULIUSZ,BAŃCEROWSKI,03-07-1951
BERNARD,ANTONI,JAKOBINA,15-09-1961
DOMINIK,TYMON,DRECZKOWSKI,05-11-1961
OSKAR,JAKUB,PYCIA,11-04-1971
ANDRZEJ,JÓZEF,DROZDOWSKI,09-05-1989
JERZY,KRZYSZTOF,SUROWIEC,12-11-1948
CZESŁAW,TOMASZ,WIERZBICKI,17-11-1931
KAROL,MICHAŁ,KUPSKI,15-08-2020
MATEUSZ,ROMAN,GRYMASZEWSKI,05-03-1976
STANISŁAW,JANUSZ,BADURA,02-07-1984
